cveID,count
CVE-2010-4345,1
CVE-2010-4344,1
CVE-2019-1315,1
CVE-2019-0543,1
CVE-2019-0841,1
CVE-2019-1064,1
CVE-2019-1069,1
CVE-2019-1129,1
CVE-2019-1132,1
CVE-2019-1253,1
CVE-2019-1322,1
CVE-2010-3035,1
CVE-2019-1405,1
CVE-2020-5135,1
CVE-2005-2773,1
CVE-2009-0927,1
CVE-2009-1151,1
CVE-2009-2055,1
CVE-2010-2861,1
CVE-2016-4171,1
CVE-2017-0146,1
CVE-2011-2005,1
CVE-2017-12615,1
CVE-2019-2616,1
CVE-2019-6340,1
CVE-2020-1631,1
CVE-2020-1956,1
CVE-2020-2021,1
CVE-2020-2506,1
CVE-2020-25223,1
CVE-2020-5410,1
CVE-2020-7247,1
CVE-2020-9054,1
CVE-2020-9377,1
CVE-2021-22941,1
CVE-2021-42237,1
CVE-2022-21999,1
CVE-2022-26143,1
CVE-2022-26318,1
CVE-2010-4398,1
CVE-2019-16920,1
CVE-2019-15107,1
CVE-2019-12991,1
CVE-2018-1273,1
CVE-2017-12617,1
CVE-2017-3881,1
CVE-2017-6316,1
CVE-2017-6334,1
CVE-2018-0125,1
CVE-2018-0147,1
CVE-2018-11138,1
CVE-2018-14839,1
CVE-2019-12989,1
CVE-2018-6961,1
CVE-2018-8373,1
CVE-2018-8414,1
CVE-2019-0903,1
CVE-2019-1003030,1
CVE-2019-10068,1
CVE-2019-11043,1
CVE-2020-13671,1
CVE-2020-13927,1
CVE-2014-0160,1
CVE-2018-8653,1
CVE-2020-0968,1
CVE-2017-11774,1
CVE-2019-1429,1
CVE-2020-1380,1
CVE-2017-0199,1
CVE-2019-1367,1
CVE-2021-27059,1
CVE-2020-0674,1
CVE-2017-11882,1
CVE-2019-0541,1
CVE-2021-27085,1
CVE-2015-1641,1
CVE-2012-0158,1
CVE-2018-0802,1
CVE-2018-0798,1
CVE-2019-1215,1
CVE-2021-36942,1
CVE-2020-1472,1
CVE-2021-26855,1
CVE-2021-26858,1
CVE-2020-1147,1
CVE-2020-6820,1
CVE-2020-6819,1
CVE-2021-38648,1
CVE-2021-36955,1
CVE-2019-0863,1
CVE-2016-3235,1
CVE-2019-1214,1
CVE-2021-26857,1
CVE-2021-27065,1
CVE-2019-0808,1
CVE-2020-0646,1
CVE-2019-0604,1
CVE-2020-0601,1
CVE-2021-34448,1
CVE-2021-1675,1
CVE-2020-1054,1
